nome,idade,cpf,data,endereco,estado
Sr. Vitor Gabriel Silva,90,640.719.385-01,1933-12-06,"TREVO EMANUEL SILVA, 482
VILA TIROL
47847085 PEREIRA / AP",rondônia
Calebe Santos,40,651.297.384-46,1984-03-06,"RECANTO MORAES, 7
ERNESTO NASCIMENTO
96497-621 DA ROSA / PB",rio de janeiro
Maria Julia Castro,76,164.750.293-43,1947-04-12,"RESIDENCIAL DE PEREIRA, 20
JATOBÁ
62127-165 GOMES DE SANTOS / AL",pernambuco
Arthur Da Rosa,53,085.167.249-30,1970-04-16,"PARQUE ALMEIDA, 66
VILA SUZANA SEGUNDA SEÇÃO
09805-686 SANTOS / SE",santa catarina
Juan Pereira,68,520.876.319-21,1955-10-25,"RODOVIA DE PEREIRA, 51
ESTRELA
44830637 MENDES DE MORAES / BA",rio de janeiro
Dra. Ana Laura Ribeiro,69,210.764.589-20,1954-05-09,"ESPLANADA LAVÍNIA RAMOS
SÃO FRANCISCO
39467-536 DA MATA / SP",distrito federal
Maria Clara Araújo,41,960.342.175-80,1983-03-14,"PRAÇA CAVALCANTI, 65
CONJUNTO CELSO MACHADO
97788-105 VIEIRA / RO",paraná
Vitória Oliveira,31,302.568.479-83,1993-03-10,"ESPLANADA MONTEIRO, 88
CONJUNTO PAULO VI
06403-281 MORAES / GO",roraima
Benjamin Oliveira,49,451.896.703-84,1974-05-16,"LADEIRA MONTEIRO, 57
VILA PRIMEIRO DE MAIO
76835-491 MOURA DOS DOURADOS / CE",acre
Pietro Barros,51,843.095.172-50,1972-08-19,"RECANTO LUIZ MIGUEL JESUS, 35
VILA AEROPORTO JARAGUÁ
50536-588 OLIVEIRA DE GOIÁS / PB",minas gerais
Samuel Cavalcanti,89,520.679.841-01,1934-11-26,"LADEIRA DE PORTO, 38
NOVA AMERICA
91782042 BARROS DE DA MATA / TO",roraima
Ian Da Costa,23,384.172.609-78,2001-01-21,"VIA DE JESUS, 57
VILA DA AMIZADE
93849-206 CORREIA / PB",goiás
Dr. Emanuel Costa,55,736.581.942-19,1969-03-09,"LAGO CASTRO, 94
MARIANO DE ABREU
24415-900 PORTO / RJ",goiás
Larissa Da Cruz,83,128.953.704-60,1940-11-22,"SETOR ISADORA DA ROSA, 583
CHÁCARA LEONINA
20125668 TEIXEIRA / RR",mato grosso do sul
Diogo Carvalho,83,078.153.294-97,1941-03-10,"VIADUTO PEDRO LUCAS CAVALCANTI, 49
TIRADENTES
27653-901 REZENDE / RS",maranhão
Sr. Anthony Almeida,37,305.184.962-60,1987-02-03,"RUA VITOR HUGO PINTO, 21
ANCHIETA
08712074 RAMOS / RJ",bahia
Clara Martins,77,397.201.856-86,1947-03-14,"RODOVIA ARAGÃO, 245
CONJUNTO LAGOA
61224-422 PINTO / MG",bahia
Dr. Luiz Felipe Cardoso,69,374.691.850-20,1954-07-20,"ALAMEDA DE LIMA, 65
BOA ESPERANÇA
49621639 FERNANDES DE MORAES / PE",amapá
Sr. Calebe Lopes,62,135.796.802-77,1961-10-19,"TRECHO LUCAS SALES, 24
DOM BOSCO
09228582 DA CUNHA ALEGRE / RO",ceará
Miguel Monteiro,54,097.521.834-41,1969-06-27,"PASSARELA IGOR NOVAES, 89
POMPÉIA
32670-098 MARTINS / SE",acre
Srta. Catarina Da Mata,81,468.751.390-57,1942-07-05,"SÍTIO LUNA CARVALHO, 98
NOVO SANTA CECILIA
32066-338 NUNES / AM",acre
João Gabriel Araújo,73,625.904.731-25,1950-09-13,"ESPLANADA DE CASTRO, 4
VILA NOVA CACHOEIRINHA 1ª SEÇÃO
69704-913 PIRES / MT",roraima
Sr. Nicolas Azevedo,35,036.458.921-33,1989-01-18,"ESTRADA DE ARAGÃO, 1
VILA BARRAGEM SANTA LÚCIA
49120-746 CAMPOS / AC",rio de janeiro
Kamilly Caldeira,44,508.379.462-47,1979-07-04,"VIA GABRIELA NASCIMENTO
MADRE GERTRUDES
45044395 NASCIMENTO DO GALHO / AP",mato grosso do sul
Renan Araújo,79,186.970.354-57,1945-03-06,"TRAVESSA VINICIUS DA MATA, 52
ALTA TENSÃO 1ª SEÇÃO
66380-981 DIAS DO CAMPO / CE",são paulo
